    20231009022108960.UW.WRW..HH  139.54   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.HOQUI..HH  141.00   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.FMW..HH  145.87   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.INGAL..HH  150.56   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.RER..HH  151.44   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.CORE..HH  152.71   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.RCM..HH  153.61   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.DOTY..HH  156.09   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.DEAL..HH  157.36   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.ARTIC..HH  157.66   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.LON..HH  159.34   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.SLF..HH  167.51   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.BOIS..HH  168.32   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.GIGA..HH  170.66   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.WHGC..HH  171.38   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.WATCH..HH  172.76   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.COWL..HH  173.28   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.LOKMT..HH  176.41   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.TOLE..HH  176.68   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.LTY..HH  178.01   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.NEL..HH  178.31   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.ETW..HH  186.00   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.TBLMT..HH  187.09   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.WPEQ..HH  187.65   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.NEMA..HH  188.03   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.ABER..HH  190.74   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.TOUT..HH  193.51   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.MANO..HH  193.66   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.RADR..HH  197.24   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.SKAMO..HH  197.96   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.TWISP..HH  199.48   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.WAT2..HH  201.37   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.CBS..HH  202.59   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.SHW..HH  208.69   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.EDM..HH  209.54   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.HSR..HH  211.58   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.CDF..HH  220.00   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.DY2..HH  220.83   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.BDGR..HH  225.72   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.ASR2..HH  228.12   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.YACT..HH  235.49   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.SEAS2..HH  239.76   1 1    0 0 0     0.00 0     0.00 0    0
  20231009022108960.UW.FISH2..HH  242.01   1 1    0 0 0     0.00 0     0.00 0    0
    20231009022108960.UW.MOX..HH  245.45   1 1    0 0 0     0.00 0     0.00 0    0
   20231009022108960.UW.EPH2..HH  245.63   1 1    0 0 0     0.00 0     0.00 0    0
